gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,is_new_customer,is_loyal_customer,tenure_group,avg_monthly_charge,high_monthly_charge,total_services,has_protection,has_support,is_monthly_contract,automatic_payment,risky_payment,family_size,senior_with_family,tenure_contract_interaction,charges_per_service
Male,0,No,No,35,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.2,1701.65,0,0,2-4yr,48.61857142857143,0,3,0,1,1,0,1,0,0,0,16.400000000000002
Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.1,1151.55,0,0,1-2yr,76.77,1,2,1,0,1,0,0,2,0,0,37.55
Male,0,Yes,Yes,13,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,40.55,590.35,0,0,1-2yr,45.41153846153846,0,3,1,1,0,0,0,2,0,26,13.516666666666666
Female,0,Yes,No,26,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),73.5,1905.7,0,0,2-4yr,73.29615384615384,1,5,1,1,0,1,0,1,0,52,14.7
Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.55,44.55,1,0,0-1yr,44.55,0,1,0,0,1,0,1,2,0,0,44.55
Male,0,No,Yes,66,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.5,5196.1,0,1,4+yr,78.72878787878788,1,6,1,1,0,1,0,1,0,132,13.25
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.8,19.8,1,0,0-1yr,19.8,0,1,0,0,1,1,0,0,0,0,19.8
Female,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,0,0,2-4yr,59.4775,0,3,1,0,1,1,0,1,0,0,18.866666666666667
Female,0,Yes,No,65,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),59.8,3808.2,0,1,4+yr,58.58769230769231,0,3,0,1,0,1,0,1,0,130,19.933333333333334
Female,0,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),80.55,4847.05,0,1,4+yr,80.78416666666666,1,6,0,1,0,1,0,0,0,60,13.424999999999999
Female,1,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.9,287.85,1,0,0-1yr,57.57000000000001,0,4,1,1,1,1,0,0,0,0,14.975
Female,0,Yes,Yes,5,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.4,232.55,1,0,0-1yr,46.510000000000005,0,2,1,0,1,0,0,2,0,0,24.7
Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.95,123.05,1,0,0-1yr,61.525,0,2,1,0,1,0,0,0,0,0,25.475
Male,0,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,67.6,2000.2,0,0,2-4yr,66.67333333333333,0,6,1,1,1,0,1,2,0,0,11.266666666666666
Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.4,3474.2,0,0,2-4yr,96.50555555555555,1,4,0,0,1,0,1,1,0,0,23.85
Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),69.05,3842.6,0,1,4+yr,69.86545454545454,0,1,0,0,0,1,0,2,0,110,69.05
Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.75,2613.4,0,0,2-4yr,84.30322580645162,1,4,1,1,1,1,0,0,0,0,21.1875
Female,1,Yes,Yes,28,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,35.9,973.65,0,0,2-4yr,34.77321428571428,0,1,0,0,1,0,1,2,1,0,35.9
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,0,1-2yr,20.425,0,1,0,0,0,1,0,0,0,32,18.95
