number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
41,0.6372693776953109,2026-04-12 20:46:34.469769,2026-04-12 20:46:36.615848,0 days 00:00:02.146079,0.6233669169631441,2.034745248506267,0.013518532035047862,10,3,180,0.2730579755802289,0.8333244770671087,0.6715666984413451,COMPLETE
10,0.6340135865836128,2026-04-12 20:45:30.646241,2026-04-12 20:45:33.062586,0 days 00:00:02.416345,0.6058050543873542,1.806559982209047,0.02348130822266852,8,7,289,0.3924528921026325,0.9679101997240769,0.6071847502459278,COMPLETE
11,0.6330639460823952,2026-04-12 20:45:33.098740,2026-04-12 20:45:35.875129,0 days 00:00:02.776389,0.6114034376286291,1.5914312506240404,0.02304364042504695,8,7,300,0.437334262734068,0.9989120622621437,0.6105733875603306,COMPLETE
17,0.6328182400625163,2026-04-12 20:45:49.354137,2026-04-12 20:45:51.432519,0 days 00:00:02.078382,0.7550669686997783,0.8723847298421061,0.018263791948714726,6,6,277,0.6303562390561162,0.9973910426565881,0.7582646778725123,COMPLETE
21,0.6320921374561866,2026-04-12 20:45:56.711813,2026-04-12 20:45:58.669478,0 days 00:00:01.957665,0.6001800107549486,0.7805402756086343,0.017721028751850325,6,6,271,0.6038245562544483,0.9908400212946045,0.7690675806675148,COMPLETE
6,0.6320465975666493,2026-04-12 20:45:25.967263,2026-04-12 20:45:27.846597,0 days 00:00:01.879334,0.6180909155642152,1.9433864484474102,0.01351182947645082,10,4,200,0.2713490317738959,0.8287375091519293,0.6783931449676581,COMPLETE
22,0.6317761134625315,2026-04-12 20:45:58.722418,2026-04-12 20:46:01.153218,0 days 00:00:02.430800,0.7435557078373037,0.6105702219804587,0.021905141684292345,8,7,283,0.46807191925189157,0.9175156498805156,0.6408334761780391,COMPLETE
32,0.6317062329021056,2026-04-12 20:46:18.224286,2026-04-12 20:46:19.751624,0 days 00:00:01.527338,0.6017823437474678,0.9536291860820628,0.024544705524956696,4,7,300,0.5738761652926493,0.9998953380101608,0.7915284989749175,COMPLETE
25,0.6315166800412702,2026-04-12 20:46:04.703660,2026-04-12 20:46:06.774278,0 days 00:00:02.070618,0.6912387541473645,0.06948779089508239,0.015216251287478494,7,9,271,0.46534216084628044,0.8519916556301586,0.6295634005088236,COMPLETE
49,0.6311745547162821,2026-04-12 20:46:49.497921,2026-04-12 20:46:51.804975,0 days 00:00:02.307054,0.6754061987607947,1.6217573004254138,0.01439785317001872,7,1,268,0.510173465421892,0.9117798250284308,0.6979346865611633,COMPLETE
36,0.6311497620751304,2026-04-12 20:46:25.495502,2026-04-12 20:46:28.066942,0 days 00:00:02.571440,0.6588376511957389,0.021345958158535794,0.017347903036813994,8,7,286,0.8287931271359862,0.8146670769121529,0.8324848143511919,COMPLETE
48,0.6311298360789344,2026-04-12 20:46:47.593890,2026-04-12 20:46:49.445238,0 days 00:00:01.851348,0.7155726024916834,1.3937753096338668,0.011772662583039568,8,5,200,0.38746285592173985,0.8472896296888337,0.6046336193429511,COMPLETE
34,0.6309836197890781,2026-04-12 20:46:21.817940,2026-04-12 20:46:24.011830,0 days 00:00:02.193890,0.6891901108695084,1.1204964457680648,0.012724362125115248,7,5,232,0.4492531492330684,0.9371871069563263,0.7543558458063732,COMPLETE
45,0.6309305938374505,2026-04-12 20:46:41.675764,2026-04-12 20:46:44.510344,0 days 00:00:02.834580,0.600242594622158,1.744422046955659,0.017434328463604418,9,3,289,0.4784931054272361,0.9593915396477024,0.6447128737303871,COMPLETE
37,0.6308167958775632,2026-04-12 20:46:28.113127,2026-04-12 20:46:29.446390,0 days 00:00:01.333263,0.6000132086743484,0.3231640730112283,0.02688031779956118,5,3,217,0.34453253353187296,0.9494821293655726,0.6698140449566854,COMPLETE
43,0.630558707931418,2026-04-12 20:46:38.416786,2026-04-12 20:46:39.862074,0 days 00:00:01.445288,0.6159234298366197,1.469992538868502,0.013722315372926532,10,2,106,0.3314826962475508,0.9546829982693597,0.6684701964329447,COMPLETE
44,0.6304163136139401,2026-04-12 20:46:39.917529,2026-04-12 20:46:41.625173,0 days 00:00:01.707644,0.6692842596060496,1.2207819396421187,0.023163886994546152,9,7,182,0.4330228658939211,0.8229318684033422,0.6147437976234575,COMPLETE
40,0.6301956986571543,2026-04-12 20:46:32.413044,2026-04-12 20:46:34.421586,0 days 00:00:02.008542,0.6525523944310695,0.7981092580154285,0.03222051314733755,7,6,252,0.5199578266904135,0.7785593491694947,0.8436473264896194,COMPLETE
26,0.6300138381260085,2026-04-12 20:46:06.824423,2026-04-12 20:46:09.093826,0 days 00:00:02.269403,0.7574289744646859,2.255909440954726,0.023304097432270215,9,7,244,0.5785952576800336,0.9230687135465174,0.6827299980314588,COMPLETE
3,0.629763279383562,2026-04-12 20:45:23.030150,2026-04-12 20:45:24.404600,0 days 00:00:01.374450,0.6682096494749166,4.7444276862666666,0.011711509955524094,7,1,179,0.9656320330745594,0.8083973481164611,0.8430179407605753,COMPLETE
12,0.6296397992877298,2026-04-12 20:45:35.913859,2026-04-12 20:45:38.861065,0 days 00:00:02.947206,0.6138004667992475,1.3290539379303765,0.025181858077078845,8,7,292,0.5388746941322878,0.9920381216639937,0.6050781092066836,COMPLETE
27,0.6296016482978268,2026-04-12 20:46:09.144155,2026-04-12 20:46:10.919215,0 days 00:00:01.775060,0.7104928819262402,1.1170783711155294,0.010260632054193785,8,5,190,0.3667609765892355,0.7402158520628166,0.6231771557899204,COMPLETE
47,0.629357328521729,2026-04-12 20:46:46.279821,2026-04-12 20:46:47.542741,0 days 00:00:01.262920,0.6241898397591773,0.9978796586778997,0.026907941610895433,5,8,216,0.5599775838976793,0.9952660207468903,0.6312982024314256,COMPLETE
23,0.6293273063785896,2026-04-12 20:46:01.207079,2026-04-12 20:46:03.341256,0 days 00:00:02.134177,0.6397670014526669,1.300879460516192,0.01648073398677587,6,6,298,0.6593068157924656,0.7612469491297602,0.6861270680496075,COMPLETE
33,0.6292405977573738,2026-04-12 20:46:19.801826,2026-04-12 20:46:21.768086,0 days 00:00:01.966260,0.6531658149151569,0.846144543804259,0.015328989620387116,6,8,282,0.7159623034139917,0.8662100650361588,0.7060450985289525,COMPLETE
